Age,MeanDNE.Apex,Proportion.DNEunder0.0001,Proportion.DNEover0.6,IQRDNE.Whole
28,0.019748691,0.007311675,0.000495983,0.007612406
39,0.021766818,0.007071459,0.000415246,0.011254669
36,0.023515518,0.005770671,0.000451246,0.007607645
22,0.033346521,0.007133765,0.000741722,0.011802824
22,0.024342755,0.008959074,0.000246958,0.007139807
39,0.034889582,0.007062916,0.000488986,0.012149532
22,0.015238928,0.009721178,0.00100862,0.005212706
74,0.036567125,0.004058584,0.002174666,0.017966074
37,0.023416702,0.009775672,0.000532424,0.016163336
59,0.018494129,0.004192461,0.002024374,0.025766836
33,0.02693935,0.00915591,0.000378393,0.008710408
49,0.028056263,0.006471582,0.001244658,0.013404289
45,0.031662799,0.005413699,0.001495276,0.006609444
35,0.027672931,0.007641775,0.00092663,0.020344178
36,0.034076361,0.006305861,0.00090735,0.018616262
39,0.02579322,0.007225958,0.000729207,0.004869673
36,0.029900824,0.007877553,0.000726744,0.015171688
23,0.013508915,0.009168288,0.000157084,0.01319971
52,0.022225888,0.004604863,0.000464045,0.018096989
76,0.040855956,0.002936855,0.001607983,0.028705769
55,0.023107123,0.00376934,0.001772812,0.021749167
39,0.023070883,0.009073413,0.001032727,0.005912655
39,0.030950276,0.008454859,0.000925135,0.006919555
61,0.050920219,0.005332838,0.001008661,0.029266999
90,0.047678572,0.003757904,0.002044989,0.032441825
44,0.024185449,0.005012677,0.001621063,0.015041865
61,0.048010783,0.004357379,0.001220618,0.014326883
53,0.042028153,0.003502018,0.001717446,0.017962737
75,0.048181824,0.0027204,0.001514911,0.029218857
64,0.052016897,0.004155282,0.001743286,0.027179866
70,0.02333371,0.003909826,0.001979167,0.024297706
38,0.017037864,0.004999798,0.000759461,0.009052655
36,0.023274567,0.006903878,0.000501366,0.012476053
76,0.03655841,0.003094186,0.002117727,0.027758464
54,0.044852692,0.004496491,0.001988028,0.017809961
72,0.051713759,0.003653299,0.002214182,0.027465145
67,0.036903357,0.005067377,0.001072921,0.032246198
38,0.020973833,0.007769881,0.000438198,0.009230882
65,0.030886254,0.004297914,0.002817766,0.024389849
23,0.019262441,0.007963562,0.000434677,0.006966113
49,0.041337391,0.006288198,0.001822956,0.014954729
44,0.030808736,0.006744341,0.001692778,0.014348718
38,0.023452887,0.007305715,0.000490774,0.00615644
40,0.031350612,0.005092929,0.001166574,0.006784786
90,0.051222171,0.004629617,0.001463852,0.032504474
70,0.049346056,0.003519821,0.001731484,0.026849899
59,0.045345066,0.00492334,0.001453195,0.021783751
37,0.023448449,0.007284234,0.00052993,0.009303964
61,0.035102554,0.004751803,0.001283439,0.019979359
39,0.028665316,0.007786775,0.001699714,0.009380121
37,0.025579922,0.007363514,0.000845726,0.005351386
75,0.043822369,0.004275078,0.002019569,0.019920359
35,0.029174861,0.006818178,0.000520646,0.010190032
57,0.027732202,0.00495538,0.001869071,0.024660272
62,0.043377404,0.002988175,0.002412629,0.023058603
45,0.036900417,0.007211233,0.000608622,0.021072266
66,0.031605547,0.0057733,0.001182111,0.023179326
75,0.040568811,0.004269823,0.001553436,0.022094934
52,0.034844324,0.00344873,0.001352503,0.020728574
73,0.039779591,0.003512156,0.002173833,0.026448044
34,0.025390918,0.005416066,0.001484579,0.01070752
40,0.029883618,0.004851962,0.002057979,0.012235132
55,0.025106172,0.007058936,0.001842127,0.017744395
42,0.037080959,0.008465856,0.000635618,0.022037309
40,0.029292558,0.005193352,0.002256531,0.0124212
66,0.048005502,0.005496679,0.001989197,0.023184174
54,0.042237828,0.008391678,0.002031149,0.017936625
29,0.021690695,0.005258046,0.001056719,0.009043126
32,0.028145877,0.004913321,0.000595684,0.007517942
46,0.033784986,0.004224051,0.002218289,0.011564799
72,0.055236399,0.005877046,0.002369523,0.026629569
63,0.051301558,0.003984803,0.002320558,0.02784255
55,0.032936225,0.003552273,0.002197765,0.017776734
40,0.016752333,0.006836799,0.001834269,0.012763522
53,0.039238514,0.007321521,0.001906352,0.012553225
85,0.05322155,0.004309629,0.002172885,0.031342171
67,0.036636887,0.003360438,0.000757343,0.026011495
57,0.032798494,0.003771749,0.001752827,0.027442125
77,0.02288352,0.006782166,0.00293099,0.020694083
50,0.034899067,0.004630607,0.002099608,0.011159709
37,0.027257299,0.003272988,0.000415002,0.010956653
47,0.041301568,0.00603248,0.000885367,0.011725174
74,0.035921069,0.005042835,0.003733877,0.030284428
42,0.041053107,0.006413122,0.001065644,0.012425522
67,0.039039481,0.002747424,0.002433829,0.02101323
61,0.027789519,0.003262393,0.002181323,0.024876923
42,0.028272781,0.005918732,0.000763299,0.012726145
44,0.028393994,0.007332921,0.001349259,0.020507877
49,0.02703874,0.00698094,0.001756458,0.006629561
45,0.033569745,0.007564931,0.001747454,0.012317184
77,0.059983822,0.003515672,0.001146309,0.014021113
55,0.033831219,0.006411952,0.001097586,0.017830597
37,0.029561685,0.005317477,0.000525209,0.011318956
76,0.0254303,0.002677441,0.002297213,0.026931593
75,0.059970471,0.003854517,0.001422246,0.021470077
29,0.019903652,0.005775387,0.000565342,0.007769683
60,0.044958224,0.006286599,0.00185733,0.022425206
57,0.024770886,0.00565517,0.001314031,0.010497468
26,0.019895091,0.006678417,0.00042157,0.00941559
47,0.03860528,0.00476966,0.001342961,0.012265503
41,0.033915219,0.004895671,0.001356383,0.025326949
78,0.04233828,0.002737245,0.003438935,0.025635884
53,0.038512219,0.00709679,0.000338536,0.021226019
57,0.026046546,0.006240029,0.002836289,0.013956915
64,0.043487359,0.004036349,0.0016978,0.02372457
34,0.024380254,0.008644781,0.00039646,0.012336498
64,0.040556618,0.0029891,0.001187792,0.023725154
81,0.051376749,0.003147981,0.001919473,0.031056511
56,0.032636791,0.006432138,0.001627563,0.017720272
60,0.027304207,0.004340025,0.003006504,0.021519268
40,0.026161782,0.006296183,0.001054354,0.013975429
53,0.034145786,0.007154139,0.001556378,0.02627379
68,0.042166403,0.003786955,0.002249599,0.023848709
59,0.04326555,0.005642287,0.002287476,0.018110129
32,0.023822771,0.008847603,0.000537154,0.015863914
73,0.04857416,0.004644687,0.001408524,0.020802073
33,0.023789334,0.008130983,0.001307875,0.015057368
54,0.021446683,0.006807182,0.001314004,0.007117838
59,0.034629557,0.007079555,0.001891693,0.017241612
66,0.050647715,0.00379222,0.000782457,0.026431368
67,0.035961467,0.00556231,0.002172174,0.019027898
65,0.048727643,0.003215918,0.00201689,0.01755615
42,0.031267856,0.005354753,0.00050536,0.007179351
59,0.03588487,0.007437701,0.00144077,0.017256259
63,0.049681027,0.004236129,0.001992317,0.022908882
75,0.028316089,0.001994823,0.00133046,0.027219648
77,0.051015474,0.00320439,0.001191008,0.01781871
37,0.027495857,0.007247314,0.002416571,0.015615227
56,0.038333065,0.006058052,0.001613224,0.02180957
25,0.020068697,0.006332362,0.00036667,0.009929354
55,0.041793514,0.005293081,0.001974743,0.011554911
47,0.036004664,0.004328377,0.001516823,0.013661229
84,0.038871922,0.004224318,0.001145735,0.02448592
91,0.036376612,0.002436951,0.004084576,0.031660194
71,0.038957521,0.004961996,0.002093385,0.026828418
40,0.027917133,0.005006191,0.001060801,0.014963846
30,0.023004916,0.006253673,0.0005231,0.014406661
34,0.023396275,0.005915835,0.000788895,0.014708058
24,0.025203195,0.008928606,0.001581201,0.010474901
40,0.025400588,0.00803073,0.001227599,0.017414794
39,0.02000844,0.005351471,0.00048413,0.019866692
30,0.025040354,0.00539865,0.001509542,0.008543331
72,0.01942926,0.005202522,0.001011644,0.021397337
49,0.04790209,0.004872025,0.001376199,0.028763869
86,0.042695902,0.003749217,0.002708199,0.03001108
52,0.027951142,0.006129121,0.001782229,0.015816472
66,0.039908661,0.00368904,0.002753456,0.023213579
74,0.047302715,0.004606536,0.002355686,0.02730528
72,0.043896301,0.002141695,0.002366184,0.026658547
42,0.018361591,0.004551021,0.001908123,0.010220343
47,0.032144228,0.005578536,0.001554892,0.014518459
34,0.029437588,0.007597275,0.000401937,0.019314983
26,0.026555549,0.008321911,0.000774753,0.011728174
38,0.028740163,0.005619202,0.000416847,0.018683129
77,0.027889884,0.004796788,0.003697004,0.027781751
64,0.038690964,0.004001515,0.00155109,0.029769726
49,0.031379513,0.004704285,0.001878523,0.014346458
57,0.032756494,0.005415127,0.001784896,0.025527715
39,0.029278256,0.005369791,0.000535662,0.018700419
87,0.034965877,0.002477689,0.001937511,0.024197017
52,0.025777346,0.008684632,0.001344783,0.026543805
32,0.017338106,0.007300937,0.000680251,0.009687657
64,0.035180134,0.002418599,0.002145262,0.021297762
66,0.041098245,0.002912204,0.00241801,0.023520858
40,0.034556468,0.005721907,0.001059229,0.01129747
51,0.04381099,0.004788666,0.001617634,0.018843101
91,0.064990965,0.00207274,0.003585516,0.024870902
43,0.031196233,0.004190288,0.002618282,0.010825131
59,0.021555791,0.006507873,0.002309052,0.026438838
67,0.034500569,0.003166705,0.002763065,0.015469138
40,0.032803852,0.005470395,0.002663816,0.016502054
75,0.032236567,0.004667634,0.002391853,0.031456873
51,0.031932321,0.005633918,0.002747292,0.009283306
53,0.034401875,0.004125037,0.002205141,0.016754714
60,0.031603607,0.003578121,0.001418318,0.020038381
51,0.018524296,0.005209871,0.001631912,0.012741656
30,0.028021787,0.004878636,0.000552148,0.01090295
55,0.040105947,0.005903204,0.001653721,0.019879481
71,0.040072255,0.004704008,0.00236945,0.027182307
75,0.05632351,0.004694965,0.000754934,0.014922749
37,0.024474195,0.009208868,0.000514516,0.014908467
65,0.033931903,0.003582161,0.002777598,0.019459939
75,0.039892041,0.004729065,0.002454173,0.02749742
73,0.042234014,0.003414483,0.001819462,0.021453573
55,0.03091904,0.004903483,0.002109873,0.026911509
22,0.025033571,0.006095941,0.002183565,0.019951465
76,0.039670825,0.003823725,0.001506802,0.027366185
68,0.029491775,0.006500552,0.002142519,0.025254271
72,0.034461469,0.004757049,0.002663501,0.030691057
60,0.042266429,0.005526601,0.001310219,0.020916641
46,0.033649509,0.003010644,0.002547168,0.011496739
86,0.054074798,0.003915556,0.001261212,0.026806669
38,0.025476661,0.007323991,0.001402668,0.014259432
39,0.030747493,0.004871828,0.000448472,0.013089625
75,0.018082788,0.003702894,0.002305433,0.015839462
43,0.03420224,0.003546023,0.00139034,0.012411124
37,0.022481616,0.003787011,0.001013093,0.010974024
36,0.021921621,0.008892545,0.00047751,0.021164775
64,0.023237897,0.00473756,0.001551184,0.015468777
56,0.039394697,0.004831695,0.001602075,0.017704343
40,0.029172907,0.006397439,0.001596003,0.013028445
57,0.045486018,0.005368353,0.001481782,0.02460011
61,0.022439016,0.003029515,0.00182846,0.021409171
36,0.019868447,0.004906174,0.001129842,0.018198964
58,0.037397132,0.005210739,0.000532966,0.017540648
68,0.0387364,0.005913971,0.002132104,0.020161185
40,0.030954586,0.005145832,0.001443389,0.00824412
32,0.02518717,0.005846337,0.000837311,0.014006006
54,0.034878921,0.005609333,0.001449983,0.024536317
64,0.020146369,0.004348567,0.002150667,0.017527802
75,0.020838831,0.003520187,0.002086666,0.026742555
88,0.044911218,0.003192363,0.002574667,0.032395238
42,0.044884351,0.005060617,0.001830329,0.016173417
68,0.014797049,0.003941935,0.001490235,0.02068367
22,0.03165205,0.00507336,0.001852034,0.017669841
64,0.036949969,0.001490187,0.001770566,0.020558191
48,0.028331466,0.004861741,0.00230435,0.021181242
52,0.044382166,0.004391179,0.001557766,0.023440349
65,0.033896111,0.002331435,0.002074788,0.032492917
40,0.016596145,0.008945506,0.001699037,0.01438242
42,0.045780505,0.005062573,0.00143781,0.025984566
65,0.036889674,0.004511864,0.001986643,0.022001943
33,0.027248435,0.00700776,0.000450174,0.01315658
54,0.02366059,0.004157291,0.00242328,0.021092884
45,0.032036696,0.005122993,0.001384128,0.01368307
66,0.04007833,0.002188629,0.001955601,0.026930114
77,0.046022971,0.00414944,0.001664774,0.032520733
72,0.029768032,0.003432349,0.002262801,0.023695993
72,0.026810745,0.002880009,0.002326496,0.020713932
44,0.0308012,0.004560136,0.001360337,0.025696118
91,0.048889227,0.002949243,0.003163145,0.029180072
91,0.05228995,0.002104143,0.002191646,0.022187639
40,0.033995614,0.006759375,0.001559882,0.013444187
78,0.053001093,0.003148062,0.001602671,0.023285158
42,0.022461418,0.005063839,0.002308771,0.018641783
40,0.031140208,0.005395848,0.000703051,0.015856145
40,0.03165909,0.006355527,0.000891336,0.014884639
44,0.034402145,0.005504582,0.001990276,0.017915109
50,0.036112892,0.004894786,0.001341268,0.026916345
55,0.047908621,0.003164091,0.00239481,0.030189797
88,0.059583305,0.002865123,0.003088094,0.025874886
75,0.040782222,0.003354001,0.003063256,0.025407094
50,0.034428159,0.004867256,0.002662185,0.025530136
23,0.020554284,0.009950677,0.001167642,0.017823835
64,0.02836284,0.006786757,0.002495529,0.024407888
57,0.033857441,0.004540361,0.00144977,0.023908248
54,0.03025533,0.003168966,0.001528611,0.021610031
72,0.044880434,0.003119735,0.001482417,0.026413552
40,0.032689691,0.005748062,0.00170749,0.016988759
72,0.045101117,0.003135118,0.00082513,0.018152051
91,0.058888602,0.002487826,0.001801312,0.036971261
78,0.045301968,0.002523917,0.002140611,0.026281471
78,0.046597644,0.003891548,0.001091595,0.031468311
70,0.043104398,0.00479868,0.002923432,0.029251345
78,0.037509118,0.005108466,0.002374548,0.023186854
56,0.032405699,0.003143912,0.001656383,0.020345852
77,0.040365368,0.002983506,0.002080144,0.024166569
70,0.032250026,0.006252688,0.002511038,0.016378821
70,0.039272108,0.00301405,0.001961582,0.023687679
81,0.045572792,0.003432455,0.001651645,0.022341317
58,0.028489181,0.003054257,0.002006094,0.021869584
64,0.032141975,0.002528692,0.000743729,0.023044539
39,0.028026261,0.005037992,0.001338093,0.016488733
41,0.035082706,0.0051334,0.001500379,0.012546384
51,0.015272063,0.005918349,0.001086752,0.018364891
68,0.01942787,0.002582326,0.003264025,0.021630692
79,0.03167296,0.002699464,0.002346823,0.024435382
75,0.034224729,0.006052622,0.003171535,0.023134858
80,0.048956188,0.002331039,0.002332278,0.024529969
