"Age","MeanDNE.Apex","MedianDNE.Apex","IQRDNE.Apex","TotalDNE.TotalPolygonFaces","MedianDNE.Whole","IQRDNE.Whole","MeanDNE.Convex","MeanDNE.Concave","Proportion.DNEunder0.0001","Proportion.DNEover0.6","PCQDA_Estimated","PCR_pred","PCLR_pred"
28,0.019749,0.004763,0.013023,0.005891,0.00241,0.007612,0.012092,0.009558,0.007312,0.000496,1,15.79613077,1
39,0.021767,0.01049,0.0172,0.025525,0.010605,0.011255,0.012435,0.014469,0.007071,0.000415,1,31.7466144,1
36,0.022953,0.010221,0.018973,0.003856,0.005562,0.010722,0.013563,0.01475,0.006987,0.001618,1,33.77638984,1
35,0.023995,0.005629,0.015607,0.016405,0.005214,0.010905,0.015016,0.018855,0.007644,0.000483,1,22.89108097,1
36,0.023516,0.006268,0.017922,0.020706,0.008057,0.007608,0.017385,0.013588,0.005771,0.000451,1,45.78610574,1
22,0.033347,0.006146,0.019181,0.006252,0.004163,0.011803,0.01593,0.015024,0.007134,0.000742,1,31.97761341,1
55,0.045844,0.013647,0.032133,0.020704,0.008655,0.025366,0.016442,0.016665,0.003998,0.000706,1,29.04852422,1
22,0.024343,0.008214,0.022124,0.013529,0.005258,0.00714,0.01366,0.010862,0.008959,0.000247,1,31.62190752,1
39,0.03489,0.012682,0.022901,0.005404,0.007757,0.01215,0.015278,0.018665,0.007063,0.000489,1,26.18635792,1
22,0.015239,0.002086,0.011582,0.0071,0.010567,0.005213,0.012868,0.009581,0.009721,0.001009,1,20.6168206,1
74,0.036567,0.014487,0.035078,0.042845,0.012293,0.017966,0.019775,0.029816,0.004059,0.002175,1,37.16528105,1
37,0.023417,0.006369,0.014579,0.006327,0.007573,0.016163,0.021591,0.017894,0.009776,0.000532,1,29.68270018,1
28,0.023334,0.00539,0.015076,0.008151,0.004286,0.009494,0.014622,0.010692,0.006349,0.000689,1,30.20032853,1
59,0.018494,0.019736,0.016932,0.023392,0.005199,0.025767,0.017281,0.02022,0.004192,0.002024,1,28.00989462,1
33,0.026939,0.004055,0.014859,0.011259,0.006434,0.00871,0.017436,0.012492,0.009156,0.000378,1,33.35041487,1
49,0.028056,0.015704,0.020099,0.021069,0.008982,0.013404,0.016929,0.016392,0.006472,0.001245,3,53.37760459,1
45,0.031663,0.015571,0.025293,0.021808,0.006492,0.006609,0.015612,0.018468,0.005414,0.001495,3,51.78437831,1
35,0.027673,0.004549,0.018136,0.020723,0.006629,0.020344,0.017207,0.010812,0.007642,0.000927,1,33.69121004,1
36,0.034076,0.004017,0.017261,0.016674,0.007465,0.018616,0.016316,0.01316,0.006306,0.000907,1,34.57425432,1
39,0.025793,0.010822,0.019877,0.021462,0.002708,0.00487,0.017712,0.011033,0.007226,0.000729,1,40.96649986,1
36,0.029901,0.009305,0.017067,0.016231,0.009039,0.015172,0.020316,0.015437,0.007878,0.000727,1,38.66403777,1
23,0.013509,0.004026,0.009539,0.012751,0.007416,0.0132,0.010956,0.010883,0.009168,0.000157,1,24.78342413,1
52,0.022226,0.014556,0.020643,0.019048,0.00493,0.018097,0.021369,0.015469,0.004605,0.000464,1,37.80338233,1
76,0.040856,0.017982,0.034101,0.040965,0.012346,0.028706,0.020448,0.031396,0.002937,0.001608,1,45.47050034,1
55,0.023107,0.010292,0.030798,0.017746,0.011892,0.021749,0.020709,0.030798,0.003769,0.001773,3,49.56418419,1
39,0.023071,0.00907,0.015649,0.013443,0.002682,0.005913,0.012471,0.014084,0.009073,0.001033,1,38.85821718,1
39,0.03095,0.007396,0.01622,0.024452,0.005922,0.00692,0.016337,0.014466,0.008455,0.000925,1,35.85587913,1
61,0.05092,0.015398,0.042665,0.035175,0.009133,0.029267,0.021426,0.029079,0.005333,0.001009,3,56.98413378,1
90,0.047679,0.019931,0.041014,0.04419,0.01346,0.032442,0.027668,0.031712,0.003758,0.002045,1,38.56452967,1
35,0.018172,0.006622,0.01618,0.006449,0.004344,0.015626,0.020653,0.013901,0.008038,0.001028,1,34.12373118,1
44,0.024185,0.008618,0.02016,0.018316,0.009408,0.015042,0.018398,0.030405,0.005013,0.001621,1,32.54168563,1
61,0.048011,0.016654,0.041422,0.027194,0.009333,0.014327,0.021439,0.030863,0.004357,0.001221,1,43.587961,1
53,0.042028,0.018103,0.026337,0.02063,0.006851,0.017963,0.014956,0.016253,0.003502,0.001717,1,39.81395789,1
75,0.048182,0.008437,0.024942,0.015006,0.008078,0.029219,0.021565,0.03168,0.00272,0.001515,2,45.04159416,1
64,0.052017,0.014952,0.028654,0.025703,0.009905,0.02718,0.020157,0.019141,0.004155,0.001743,1,35.93161212,1
70,0.023334,0.007244,0.027679,0.026731,0.004602,0.024298,0.021517,0.032122,0.00391,0.001979,1,34.88803642,1
38,0.017038,0.005892,0.016265,0.016517,0.00539,0.009053,0.018101,0.018356,0.005,0.000759,2,49.57674033,1
36,0.023275,0.007415,0.014314,0.007944,0.006102,0.012476,0.016981,0.014389,0.006904,0.000501,1,34.90053267,1
76,0.036558,0.014578,0.03656,0.028904,0.011925,0.027758,0.016872,0.035,0.003094,0.002118,1,43.97462911,1
54,0.044853,0.007703,0.027865,0.021558,0.007051,0.01781,0.015969,0.016187,0.004496,0.001988,2,43.28077362,1
72,0.051714,0.010375,0.031887,0.04503,0.015297,0.027465,0.017877,0.01604,0.003653,0.002214,1,43.36278968,1
67,0.036903,0.013014,0.030573,0.026159,0.005763,0.032246,0.027663,0.030369,0.005067,0.001073,2,51.82925525,1
38,0.020974,0.008186,0.015623,0.024366,0.00874,0.009231,0.017407,0.014836,0.00777,0.000438,1,33.74199224,1
65,0.030886,0.015399,0.031384,0.017308,0.008861,0.02439,0.018135,0.021849,0.004298,0.002818,1,38.57531388,1
23,0.019262,0.004725,0.016585,0.010276,0.005235,0.006966,0.015727,0.010968,0.007964,0.000435,1,32.03761161,1
67,0.028185,0.012994,0.031238,0.017933,0.008693,0.018551,0.024403,0.018392,0.004242,0.001866,2,44.73652129,1
51,0.015272,0.010459,0.035312,0.020111,0.014027,0.018365,0.018164,0.017376,0.005918,0.001087,3,54.92919756,1
49,0.041337,0.018015,0.024229,0.021924,0.009429,0.014955,0.016489,0.024961,0.006288,0.001823,1,45.11212077,1
44,0.030809,0.015444,0.024878,0.01794,0.006442,0.014349,0.013801,0.028836,0.006744,0.001693,3,52.70091837,1
38,0.023453,0.005311,0.015106,0.020646,0.009888,0.006156,0.01515,0.01459,0.007306,0.000491,1,34.44117577,1
40,0.031351,0.008864,0.017458,0.019346,0.007913,0.006785,0.020456,0.019632,0.005093,0.001167,2,43.85932935,1
90,0.051222,0.016823,0.035713,0.047067,0.010981,0.032504,0.029683,0.031925,0.00463,0.001464,2,48.48389373,1
70,0.049346,0.011017,0.026056,0.016724,0.005426,0.02685,0.020252,0.032113,0.00352,0.001731,1,47.20396854,1
59,0.045345,0.013505,0.031615,0.016276,0.004176,0.021784,0.017115,0.018047,0.004923,0.001453,1,47.15472573,1
37,0.023448,0.007643,0.012156,0.012965,0.009557,0.009304,0.018717,0.014361,0.007284,0.00053,1,37.89482109,1
61,0.035103,0.015956,0.026645,0.017171,0.009874,0.019979,0.021251,0.02115,0.004752,0.001283,2,49.64823929,1
39,0.028665,0.014853,0.024867,0.007615,0.009212,0.00938,0.014919,0.01504,0.007787,0.0017,2,45.56111383,1
37,0.02558,0.007983,0.013912,0.008156,0.009949,0.005351,0.017135,0.015574,0.007364,0.000846,1,40.8411325,1
75,0.043822,0.010126,0.026758,0.02802,0.015133,0.01992,0.021463,0.031682,0.004275,0.00202,2,50.2449497,1
35,0.029175,0.002733,0.017635,0.02051,0.003054,0.01019,0.016674,0.015908,0.006818,0.000521,2,45.6924971,1
57,0.027732,0.010473,0.020736,0.017421,0.010276,0.02466,0.01617,0.019221,0.004955,0.001869,2,42.34803082,1
62,0.043377,0.012549,0.025706,0.024821,0.011738,0.023059,0.02134,0.025056,0.002988,0.002413,3,53.43844994,1
62,0.045962,0.014504,0.027778,0.021051,0.013742,0.023059,0.018502,0.026699,0.002916,0.002153,3,68.31703137,1
45,0.0369,0.010204,0.026664,0.022521,0.00417,0.021072,0.014945,0.015651,0.007211,0.000609,2,47.4207917,1
64,0.057454,0.019061,0.037567,0.018881,0.009466,0.029369,0.023137,0.029464,0.005302,0.001584,3,60.18345617,1
66,0.031606,0.017333,0.027396,0.026291,0.007882,0.023179,0.020207,0.014556,0.005773,0.001182,2,43.15411536,1
75,0.040569,0.013257,0.02576,0.019027,0.011616,0.022095,0.020644,0.031686,0.00427,0.001553,2,52.17317387,1
71,0.031885,0.014229,0.037278,0.019861,0.008315,0.030955,0.021239,0.018238,0.004179,0.001195,1,43.27190187,1
52,0.034844,0.008103,0.026243,0.017698,0.004991,0.020729,0.017001,0.017743,0.003449,0.001353,3,57.71244687,1
73,0.03978,0.010256,0.025937,0.028318,0.01149,0.026448,0.01674,0.031266,0.003512,0.002174,2,54.37736586,1
36,0.027327,0.004027,0.01215,0.024024,0.005094,0.010336,0.021796,0.02117,0.007053,0.000451,2,41.2125642,1
34,0.025391,0.003342,0.023493,0.01921,0.008632,0.010708,0.013328,0.015202,0.005416,0.001485,2,43.24385164,1
49,0.036842,0.008441,0.017855,0.013212,0.006912,0.014281,0.018861,0.023128,0.007179,0.002479,2,41.73817942,1
40,0.029884,0.012952,0.026737,0.018586,0.009935,0.012235,0.020979,0.020907,0.004852,0.002058,2,43.364763,1
55,0.028296,0.019289,0.035791,0.024696,0.005609,0.008736,0.013875,0.018743,0.006927,0.001474,1,40.11592177,1
55,0.025106,0.007632,0.021571,0.028585,0.005745,0.017744,0.020668,0.031797,0.007059,0.001842,2,41.98235112,1
42,0.037081,0.013066,0.024532,0.017022,0.012718,0.022037,0.018926,0.024506,0.008466,0.000636,2,48.63453264,1
40,0.029293,0.011762,0.020848,0.019607,0.00895,0.012421,0.016274,0.019966,0.005193,0.002257,3,70.75717497,1
66,0.048006,0.01805,0.023413,0.03506,0.006883,0.023184,0.020159,0.017999,0.005497,0.001989,2,51.57299513,1
54,0.042238,0.010459,0.025186,0.013861,0.010676,0.017937,0.017048,0.01339,0.008392,0.002031,2,43.36389041,1
61,0.038529,0.007991,0.024024,0.020879,0.011336,0.027241,0.023867,0.024986,0.003885,0.002933,2,50.97352366,1
29,0.021691,0.003719,0.018226,0.01138,0.005595,0.009043,0.012565,0.011434,0.005258,0.001057,1,36.17369896,1
32,0.028146,0.007788,0.021762,0.005445,0.004626,0.007518,0.018878,0.012233,0.004913,0.000596,2,47.71589361,1
46,0.033785,0.009416,0.022426,0.022306,0.005581,0.011565,0.019275,0.013084,0.004224,0.002218,2,47.96161831,1
37,0.032947,0.010469,0.020554,0.018394,0.00759,0.006442,0.016904,0.017358,0.005997,0.000904,2,46.51604013,1
72,0.055236,0.009761,0.025902,0.031761,0.004308,0.02663,0.017426,0.031304,0.005877,0.00237,2,52.89102638,1
63,0.051302,0.017404,0.039511,0.023105,0.01209,0.027843,0.021206,0.015654,0.003985,0.002321,3,62.02295728,1
55,0.032936,0.0173,0.030988,0.023181,0.010418,0.017777,0.019898,0.025034,0.003552,0.002198,3,62.66922191,1
41,0.035083,0.012994,0.029904,0.018809,0.006569,0.012546,0.015875,0.024963,0.005133,0.0015,2,44.30213751,1
40,0.016752,0.008156,0.022079,0.023987,0.010124,0.012764,0.014171,0.022598,0.006837,0.001834,2,48.7367745,1
38,0.029912,0.010353,0.017524,0.014625,0.006846,0.020645,0.016816,0.023586,0.006476,0.001687,2,44.14687312,1
53,0.039239,0.017919,0.040511,0.023586,0.011688,0.012553,0.021889,0.015646,0.007322,0.001906,3,51.64143091,1
68,0.049137,0.021453,0.034456,0.020435,0.014061,0.019703,0.022237,0.031014,0.004671,0.001273,2,53.77092094,1
85,0.053222,0.01007,0.038987,0.035632,0.015997,0.031342,0.025381,0.031858,0.00431,0.002173,2,45.76819083,1
67,0.036637,0.02134,0.022483,0.027946,0.009766,0.026011,0.020422,0.032005,0.00336,0.000757,2,51.2813258,1
57,0.032798,0.014062,0.022318,0.015176,0.011818,0.027442,0.024531,0.02727,0.003772,0.001753,3,64.06202784,1
77,0.022884,0.014356,0.045187,0.021576,0.013978,0.020694,0.02303,0.030255,0.006782,0.002931,2,42.4572971,1
50,0.034899,0.007674,0.03205,0.014906,0.007848,0.01116,0.01704,0.01643,0.004631,0.0021,2,50.0661138,1
37,0.027257,0.010468,0.017221,0.008585,0.009064,0.010957,0.016752,0.015504,0.003273,0.000415,2,43.20198386,1
47,0.041302,0.021121,0.035817,0.018432,0.007189,0.011725,0.021079,0.017843,0.006032,0.000885,2,50.88606365,1
74,0.035921,0.020193,0.044737,0.038178,0.011775,0.030284,0.01982,0.033992,0.005043,0.003734,2,50.39733814,1
42,0.041053,0.013132,0.021857,0.009178,0.008704,0.012426,0.025195,0.027306,0.006413,0.001066,2,45.90591471,1
67,0.039039,0.009243,0.034147,0.024041,0.007768,0.021013,0.025414,0.03591,0.002747,0.002434,3,61.5338832,1
61,0.02779,0.011095,0.023289,0.021606,0.010514,0.024877,0.01849,0.029743,0.003262,0.002181,2,48.13309816,1
42,0.028273,0.018441,0.023993,0.019745,0.010734,0.012726,0.017464,0.017581,0.005919,0.000763,2,51.98936654,1
44,0.028394,0.018738,0.017498,0.025849,0.007558,0.020508,0.024728,0.020739,0.007333,0.001349,2,45.92584093,1
49,0.027039,0.020898,0.031003,0.02338,0.003335,0.00663,0.014362,0.016042,0.006981,0.001756,2,58.3106828,1
45,0.03357,0.01039,0.020599,0.01868,0.005596,0.012317,0.01787,0.015972,0.007565,0.001747,2,44.39327526,1
77,0.059984,0.020558,0.036797,0.019041,0.012394,0.014021,0.028183,0.037323,0.003516,0.001146,3,64.97485264,1
63,0.043481,0.016405,0.030255,0.031949,0.007296,0.022896,0.017136,0.01873,0.003849,0.00234,3,66.57580492,1
55,0.033831,0.013471,0.024292,0.022047,0.008571,0.017831,0.016795,0.022897,0.006412,0.001098,3,64.55088394,1
37,0.029562,0.007866,0.016236,0.020169,0.007081,0.011319,0.014609,0.015736,0.005317,0.000525,2,38.01424486,1
40,0.030924,0.009855,0.025068,0.015123,0.004559,0.013299,0.016379,0.01711,0.006914,0.001445,3,54.40630459,1
68,0.054931,0.014776,0.037151,0.031341,0.012689,0.027987,0.020501,0.029347,0.003561,0.002121,3,49.05962644,1
76,0.02543,0.012332,0.028784,0.02891,0.011542,0.026932,0.024055,0.031436,0.002677,0.002297,2,46.58636629,1
75,0.05997,0.016021,0.031279,0.021746,0.006296,0.02147,0.025936,0.018576,0.003855,0.001422,3,64.58016376,1
29,0.019904,0.00517,0.014587,0.017543,0.002925,0.00777,0.017104,0.013745,0.005775,0.000565,1,38.20619368,1
30,0.032102,0.005199,0.020172,0.02456,0.00309,0.016242,0.017616,0.012662,0.008222,0.001077,2,45.31851571,1
60,0.044958,0.011023,0.032722,0.023457,0.011451,0.022425,0.024742,0.031839,0.006287,0.001857,2,52.28628963,1
57,0.024771,0.018448,0.031741,0.022558,0.010743,0.010497,0.021254,0.028724,0.005655,0.001314,2,45.25448102,1
26,0.019895,0.002588,0.015013,0.009855,0.004263,0.009416,0.013965,0.011386,0.006678,0.000422,2,52.01115507,1
70,0.053486,0.019685,0.046078,0.018761,0.014869,0.020035,0.016294,0.020547,0.003741,0.001442,3,67.71875708,1
47,0.038605,0.008135,0.028194,0.018388,0.01137,0.012266,0.021907,0.01592,0.00477,0.001343,2,62.63049645,1
41,0.033915,0.009919,0.025626,0.015196,0.004174,0.025327,0.019172,0.024818,0.004896,0.001356,2,56.82875678,1
23,0.023108,0.002738,0.016796,0.01537,0.006905,0.011022,0.015969,0.015813,0.006973,0.000976,2,48.16249595,1
78,0.042338,0.024003,0.031061,0.03409,0.009323,0.025636,0.020287,0.027611,0.002737,0.003439,3,50.61898438,1
78,0.035918,0.015308,0.039149,0.031142,0.010583,0.023777,0.017167,0.018876,0.00277,0.002354,2,50.39617251,1
25,0.022265,0.002328,0.016217,0.012995,0.004463,0.008735,0.012886,0.010081,0.007623,0.000466,2,51.44734463,1
53,0.038512,0.020248,0.026018,0.015837,0.009557,0.021226,0.02062,0.012528,0.007097,0.000339,2,57.95440171,1
57,0.026047,0.015103,0.030674,0.024099,0.004677,0.013957,0.019277,0.024508,0.00624,0.002836,2,56.44725525,1
64,0.043487,0.012077,0.040329,0.0261,0.013826,0.023725,0.029381,0.024368,0.004036,0.001698,3,55.81297217,1
34,0.02438,0.005289,0.020199,0.019373,0.006309,0.012336,0.020296,0.020288,0.008645,0.000396,3,60.62607366,1
64,0.040557,0.021421,0.04258,0.021717,0.014225,0.023725,0.02015,0.028014,0.002989,0.001188,2,58.74205755,1
81,0.051377,0.019207,0.03922,0.041644,0.012388,0.031057,0.02553,0.029177,0.003148,0.001919,2,51.41613153,1
33,0.021836,0.004081,0.021601,0.021051,0.004514,0.016615,0.014809,0.015078,0.00762,0.001097,2,41.58341062,1
56,0.032637,0.010314,0.033936,0.022576,0.007764,0.01772,0.01653,0.021756,0.006432,0.001628,2,61.92257716,1
60,0.027304,0.01253,0.033698,0.027669,0.010751,0.021519,0.021603,0.02551,0.00434,0.003007,2,48.42229875,1
40,0.026162,0.009258,0.022443,0.00925,0.004669,0.013975,0.016644,0.021134,0.006296,0.001054,2,49.95630357,1
53,0.034146,0.017067,0.037443,0.01999,0.007061,0.026274,0.020605,0.015513,0.007154,0.001556,2,49.60030058,1
68,0.042166,0.016521,0.016001,0.029017,0.008473,0.023849,0.020215,0.021723,0.003787,0.00225,2,53.87042862,1
59,0.043266,0.015323,0.018502,0.022468,0.012036,0.01811,0.024514,0.018781,0.005642,0.002287,2,46.06055837,1
32,0.023823,0.007326,0.01566,0.007748,0.002132,0.015864,0.015313,0.017335,0.008848,0.000537,2,46.95167923,1
73,0.048574,0.014779,0.025892,0.019858,0.009293,0.020802,0.023358,0.020975,0.004645,0.001409,3,60.85943706,1
72,0.05106,0.020364,0.031569,0.023293,0.011512,0.024646,0.018532,0.023775,0.001471,0.003073,3,60.16698607,1
33,0.023789,0.006217,0.01653,0.020676,0.00412,0.015057,0.014828,0.015879,0.008131,0.001308,2,57.41235084,1
54,0.021447,0.010233,0.036425,0.019467,0.010368,0.007118,0.017528,0.021382,0.006807,0.001314,3,64.15467137,1
59,0.03463,0.009601,0.041269,0.024996,0.012445,0.017242,0.0205,0.021926,0.00708,0.001892,2,57.18425416,1
66,0.050648,0.024632,0.042042,0.015086,0.010338,0.026431,0.02406,0.032318,0.003792,0.000782,3,61.56389405,1
50,0.03758,0.012789,0.03465,0.01862,0.005483,0.012683,0.020574,0.026206,0.004365,0.001768,2,61.21748352,1
51,0.031937,0.016254,0.033305,0.020714,0.011969,0.021659,0.017207,0.016036,0.003503,0.001141,3,65.59396678,2
67,0.035961,0.008348,0.031512,0.022017,0.011579,0.019028,0.018654,0.029073,0.005562,0.002172,2,52.80504009,1
65,0.048728,0.009699,0.025684,0.005321,0.010107,0.017556,0.021198,0.02574,0.003216,0.002017,2,49.92208523,1
42,0.031268,0.014863,0.023352,0.022073,0.007793,0.007179,0.023157,0.030506,0.005355,0.000505,2,57.49764742,1
59,0.035885,0.020521,0.02458,0.029255,0.009308,0.017256,0.023254,0.027857,0.007438,0.001441,2,56.55512035,1
63,0.049681,0.011993,0.03541,0.014664,0.010723,0.022909,0.020894,0.021046,0.004236,0.001992,3,60.48360685,1
75,0.028316,0.012832,0.02141,0.044709,0.011481,0.02722,0.019647,0.03171,0.001995,0.00133,2,50.03045413,1
77,0.051015,0.011739,0.026978,0.023778,0.012951,0.017819,0.026618,0.015798,0.003204,0.001191,3,61.86460038,1
37,0.027496,0.009009,0.018061,0.020889,0.006194,0.015615,0.015406,0.017483,0.007247,0.002417,2,52.03808848,1
56,0.038333,0.011541,0.022396,0.023887,0.013044,0.02181,0.018285,0.015856,0.006058,0.001613,2,49.19291106,1
25,0.020069,0.003047,0.014972,0.018234,0.005573,0.009929,0.013971,0.010027,0.006332,0.000367,2,53.44081142,1
55,0.041794,0.009022,0.021068,0.020399,0.004072,0.011555,0.020766,0.020092,0.005293,0.001975,2,57.57952675,1
91,0.067757,0.017616,0.032081,0.037988,0.012051,0.041657,0.028451,0.030538,0.002944,0.004439,3,63.45810989,1
47,0.036005,0.008116,0.021023,0.02116,0.010221,0.013661,0.016364,0.023923,0.004328,0.001517,3,68.92992575,1
84,0.038872,0.019071,0.032716,0.020316,0.013764,0.024486,0.021788,0.027481,0.004224,0.001146,2,59.94380254,1
91,0.036377,0.017189,0.030249,0.042967,0.01239,0.03166,0.033171,0.036156,0.002437,0.004085,2,54.04626968,1
71,0.038958,0.021009,0.044545,0.023411,0.010082,0.026828,0.021429,0.02987,0.004962,0.002093,2,61.37463777,1
